16:49:05.551 INFO  [background-preinit]Version - HV000001: Hibernate Validator 8.0.2.Final
16:49:05.593 INFO  [main]QuizApplication - Starting QuizApplication using Java 17.0.2 with PID 19824 (D:\JJJAVA\quizGit\bin\main started by user in D:\JJJAVA\quizGit)
16:49:05.594 INFO  [main]QuizApplication - No active profile set, falling back to 1 default profile: "default"
16:49:06.067 INFO  [main]RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:49:06.117 INFO  [main]RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 42 ms. Found 3 JPA repository interfaces.
16:49:06.573 INFO  [main]TomcatWebServer - Tomcat initialized with port 8080 (http)
16:49:06.638 INFO  [main]Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:49:06.640 INFO  [main]StandardService - Starting service [Tomcat]
16:49:06.640 INFO  [main]StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
16:49:06.688 INFO  [main][/] - Initializing Spring embedded WebApplicationContext
16:49:06.688 INFO  [main]ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1068 ms
16:49:06.820 INFO  [main]HikariDataSource - HikariPool-1 - Starting...
16:49:06.972 INFO  [main]HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3887c7d7
16:49:06.973 INFO  [main]HikariDataSource - HikariPool-1 - Start completed.
16:49:07.006 INFO  [main]LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:49:07.042 INFO  [main]Version - HHH000412: Hibernate ORM core version 6.5.3.Final
16:49:07.067 INFO  [main]RegionFactoryInitiator - HHH000026: Second-level cache disabled
16:49:07.297 INFO  [main]SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
16:49:07.546 WARN  [main]RootClass - HHH000038: Composite-id class does not override equals(): com.example.quiz.entity.FeedbackId
16:49:07.546 WARN  [main]RootClass - HHH000039: Composite-id class does not override hashCode(): com.example.quiz.entity.FeedbackId
16:49:07.546 WARN  [main]RootClass - HHH000038: Composite-id class does not override equals(): com.example.quiz.entity.QusetionId
16:49:07.546 WARN  [main]RootClass - HHH000039: Composite-id class does not override hashCode(): com.example.quiz.entity.QusetionId
16:49:07.886 INFO  [main]JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:49:07.888 INFO  [main]LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:49:08.113 INFO  [main]QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
16:49:08.660 WARN  [main]JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:49:09.045 INFO  [main]Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:49:09.070 INFO  [main]TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
16:49:09.078 INFO  [main]QuizApplication - Started QuizApplication in 3.835 seconds (process running for 4.137)
16:52:16.307 INFO  [background-preinit]Version - HV000001: Hibernate Validator 8.0.2.Final
16:52:16.345 INFO  [main]QuizApplication - Starting QuizApplication using Java 17.0.2 with PID 17324 (D:\JJJAVA\quizGit\bin\main started by user in D:\JJJAVA\quizGit)
16:52:16.346 INFO  [main]QuizApplication - No active profile set, falling back to 1 default profile: "default"
16:52:16.838 INFO  [main]RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:52:16.896 INFO  [main]RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 49 ms. Found 3 JPA repository interfaces.
16:52:17.348 INFO  [main]TomcatWebServer - Tomcat initialized with port 8080 (http)
16:52:17.359 INFO  [main]Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:52:17.362 INFO  [main]StandardService - Starting service [Tomcat]
16:52:17.362 INFO  [main]StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
16:52:17.434 INFO  [main][/] - Initializing Spring embedded WebApplicationContext
16:52:17.435 INFO  [main]ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1059 ms
16:52:17.558 INFO  [main]HikariDataSource - HikariPool-1 - Starting...
16:52:17.686 INFO  [main]HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3e5beab5
16:52:17.689 INFO  [main]HikariDataSource - HikariPool-1 - Start completed.
16:52:17.721 INFO  [main]LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:52:17.754 INFO  [main]Version - HHH000412: Hibernate ORM core version 6.5.3.Final
16:52:17.781 INFO  [main]RegionFactoryInitiator - HHH000026: Second-level cache disabled
16:52:18.010 INFO  [main]SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
16:52:18.258 WARN  [main]RootClass - HHH000038: Composite-id class does not override equals(): com.example.quiz.entity.FeedbackId
16:52:18.258 WARN  [main]RootClass - HHH000039: Composite-id class does not override hashCode(): com.example.quiz.entity.FeedbackId
16:52:18.258 WARN  [main]RootClass - HHH000038: Composite-id class does not override equals(): com.example.quiz.entity.QusetionId
16:52:18.258 WARN  [main]RootClass - HHH000039: Composite-id class does not override hashCode(): com.example.quiz.entity.QusetionId
16:52:18.594 INFO  [main]JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
16:52:18.596 INFO  [main]LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
16:52:18.783 INFO  [main]QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
16:52:19.336 WARN  [main]JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
16:52:19.693 INFO  [main]Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:52:19.711 INFO  [main]TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
16:52:19.719 INFO  [main]QuizApplication - Started QuizApplication in 3.725 seconds (process running for 4.027)
16:52:27.195 INFO  [background-preinit]Version - HV000001: Hibernate Validator 8.0.2.Final
16:52:27.235 INFO  [main]QuizApplication - Starting QuizApplication using Java 17.0.2 with PID 18676 (D:\JJJAVA\quizGit\bin\main started by user in D:\JJJAVA\quizGit)
16:52:27.236 INFO  [main]QuizApplication - No active profile set, falling back to 1 default profile: "default"
16:52:27.722 INFO  [main]RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:52:27.775 INFO  [main]RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 45 ms. Found 3 JPA repository interfaces.
16:52:28.228 INFO  [main]TomcatWebServer - Tomcat initialized with port 8080 (http)
16:52:28.237 INFO  [main]Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:52:28.239 INFO  [main]StandardService - Starting service [Tomcat]
